"","ERR844083","ERR844084","ERR844085","ERR844086"
"250422",162,0,0,0
"553653",70,4,3962,4
"1108960",1,0,2,0
"817013",4,0,1,0
"959169",1,0,0,0
"897411",1,0,0,0
"605050",18,0,2,1
"576641",15,0,2,0
"4335432",2,0,1,0
"220234",295,0,0,0
"550415",10,0,0,0
"573135",1,0,1,0
"4471435",1,0,0,0
"439804",1,0,0,0
"610462",1,0,0,0
"500600",1,0,0,0
"4431850",1,0,15,0
"152605",344,0,0,0
"513602",187,0,0,0
"275765",1,0,0,0
"694558",7,0,41,9
"523593",61,0,0,0
"887641",1,0,0,0
"743755",2,0,0,0
"4349557",3,0,1,0
"810167",2,2,2,0
"714278",1,0,0,0
"304957",2,0,2,0
"203542",1,0,0,0
"695116",1,0,0,0
"311575",2,0,0,0
"159628",10,0,0,0
"2651333",175,0,0,0
"160679",1,0,52,0
"1072934",12,1,0,0
"950169",1,0,0,0
"137867",1,0,0,0
"509496",5,0,0,0
"4390326",3,0,0,0
"106397",58,0,0,0
"2693226",1,0,0,0
"319123",25,0,1,0
"1140381",1,0,0,0
"1122474",87,0,0,0
"262826",1,0,0,0
"180752",53,0,0,1
"580695",3,0,0,0
"588234",2,0,0,0
"968336",2,0,5,0
"318726",1,0,1,0
"170219",2,0,4,0
"1083591",3,0,0,0
"223286",1,0,0,0
"2484834",1,0,0,0
"255819",2,0,477,0
"990864",3,0,0,0
"266458",1,0,0,0
"1072787",67,1,0,0
"2051943",1,0,1,0
"915948",1,0,1,0
"783719",8,1,0,0
"951954",3,0,0,0
"821365",140,0,0,0
"656889",2,0,1,0
"4437907",4,0,0,0
"141085",1,0,0,0
"362933",2,0,0,0
"1087325",4,1,1,0
"61836",1,0,0,0
"538020",1,0,0,0
"564208",1,0,0,0
"14652",4,0,51,0
"1131220",5,0,1,0
"583130",6,0,0,0
"565318",2,0,0,0
"285497",1,0,0,1
"202734",20,0,0,0
"157248",1,1,1,0
"3599069",26,0,0,0
"565173",4,0,274,0
"4445765",1,0,0,0
"450819",1,0,0,0
"642421",1,13,10,1
"151393",1,0,5,0
"999737",96,0,0,0
"835543",1,0,2,0
"912680",1,0,0,0
"361359",1,0,0,0
"907206",1,0,0,0
"811919",1,0,0,0
"1021906",2,0,0,0
"587355",1,2,8,0
"259193",27,0,0,0
"1111874",1,3,0,1
"409932",1,0,1,0
"939892",1,0,0,4
"154459",1,0,0,0
"4203118",159,0,0,0
"902334",27,0,3,1
"22545",3,0,0,0
"554597",1,0,0,0
"143986",11,0,0,0
"1106617",2,0,0,0
"12101",1,0,0,0
"210559",1,0,3,0
"909252",1,0,6,0
"968555",1,0,3,0
"820738",27,0,0,0
"821594",1,0,0,0
"1083016",1,0,0,0
"928406",1,0,0,2
"963216",2,0,0,0
"4456886",2,0,0,0
"295725",25,0,1,0
"14643",1,0,0,0
"561061",1,0,0,0
"1088618",13,1,0,0
"13074",1,0,0,0
"369064",1,0,0,0
"555369",1,0,0,0
"147181",2,0,0,0
"583016",545,0,0,0
"769631",1,1,0,0
"826563",2,0,0,0
"298629",14,0,0,0
"928829",1,0,0,0
"1007452",1,0,0,0
"167761",1,0,0,0
"526994",1,0,2,0
"982582",17,0,11,0
"226216",1,0,0,0
"542496",1,0,0,0
"1081534",1,0,0,0
"875845",1,0,4,0
"272393",1,0,0,0
"982057",3,0,1,0
"635373",9,0,0,0
"842143",5421,0,4,1
"866365",1,1,1,0
"1070477",1,0,0,0
"4327233",180,0,0,0
"626449",28,0,0,0
"815911",350,0,0,0
"11359",242,0,3,0
"11358",22,0,0,0
"2532575",3,0,0,0
"215776",103,0,10,0
"407742",1,0,2,0
"1051517",477,0,74,2
"589769",11,0,10,0
"1013469",2,1,0,0
"854050",55,1,826,4
"722085",1,2,1,3
"537775",1,0,0,0
"625648",583,0,0,1
"237667",8,0,0,0
"1062704",1,0,1,0
"105617",1,0,0,0
"1079481",4,0,50,0
"193899",4,0,0,0
"555970",1,0,119,0
"147536",1,0,0,0
"343031",7,0,0,0
"531748",767,0,1,0
"756603",1,0,0,0
"3151583",2,0,0,0
"466275",2,0,0,0
"827285",1,0,0,0
"1113279",1,0,0,0
"138304",1,0,0,0
"793941",1,0,0,0
"797229",1,0,0,0
"223583",2,1,1,0
"1080436",3,0,2,0
"584324",2,0,0,0
"843060",1,0,0,0
"648692",26,0,1,0
"941252",8,0,2,0
"562741",1,0,22,0
"4402869",1,0,0,0
"583245",58,0,0,0
"170481",65,0,7,0
"784415",1,0,0,0
"1004022",1,0,0,0
"912640",10,1,0,0
"798634",1,0,0,0
"4313275",2,0,0,0
"928776",2,0,0,0
"951214",34,0,0,0
"265094",1,0,1,0
"99387",1,2,0,1
"240211",2,1,0,1
"7958",1,0,0,0
"1047993",6,0,0,0
"173906",7,0,0,0
"223618",3,0,2,0
"4314198",9,0,3,0
"1049387",8,0,0,0
"714231",660,2,1,0
"324517",3,0,22,0
"12300",6,0,0,0
"4483055",3,0,0,0
"648198",1,0,0,0
"453740",2,0,0,0
"271114",2,0,0,0
"591049",1,0,0,0
"1141671",77,1,2,0
"533994",3,0,22,0
"30701",2195,0,0,0
"549754",7,0,0,0
"561221",3,0,0,0
"1003326",3797,0,1,0
"574032",394,0,1,0
"841979",1,0,0,0
"1090059",1,0,1,0
"223593",13,0,0,0
"47677",2,0,0,0
"254922",24,0,0,0
