"","ERR482217","ERR482218","ERR482219","ERR482220","ERR482221","ERR482222","ERR482223","ERR482224","ERR482225","ERR482226","ERR482227","ERR482228","ERR482229","ERR482230","ERR482231","ERR482232","ERR482233","ERR482234","ERR482235","ERR482236","ERR482237","ERR482238","ERR482239","ERR482240","ERR482241","ERR482242","ERR482243","ERR482244","ERR482245","ERR482246","ERR482247","ERR482248","ERR482249","ERR482250","ERR482251","ERR482252","ERR482253","ERR482254","ERR482255","ERR482256","ERR482257","ERR482258","ERR482259","ERR482260","ERR482261","ERR482365","ERR482366","ERR482367","ERR482262","ERR482263","ERR482264","ERR482265","ERR482266","ERR482267","ERR482368","ERR482369","ERR482370","ERR482268","ERR482269","ERR482270","ERR482371","ERR482372","ERR482373","ERR482271","ERR482272","ERR482273","ERR482274","ERR482275","ERR482276","ERR482374","ERR482375","ERR482376","ERR482377","ERR482378","ERR482379","ERR482380","ERR482381","ERR482382","ERR482383","ERR482384","ERR482385","ERR482386","ERR482387","ERR482388","ERR482277","ERR482278","ERR482389","ERR482390","ERR482391","ERR482392","ERR482393","ERR482394","ERR482395","ERR482396","ERR482397","ERR482398","ERR482399","ERR482400","ERR482401","ERR482402","ERR482403","ERR482404","ERR482405","ERR482406","ERR482407","ERR482408","ERR482409","ERR482410","ERR482411","ERR482412","ERR482413","ERR482414","ERR482415","ERR482416","ERR482417","ERR482418","ERR482419","ERR482420","ERR482421","ERR482422","ERR482423","ERR482424","ERR482425","ERR482426","ERR482427","ERR482428","ERR482429","ERR482430","ERR482431","ERR482432","ERR482433","ERR482434","ERR482435","ERR482436","ERR482437","ERR482438","ERR482439","ERR482440","ERR482441","ERR482442","ERR482443","ERR482444","ERR482445","ERR482446","ERR482447","ERR482448","ERR482449","ERR482450","ERR482451","ERR482452","ERR482279","ERR482280","ERR482281","ERR482282","ERR482283","ERR482284","ERR482014","ERR482015","ERR482016","ERR482285","ERR482286","ERR482287","ERR482288","ERR482289","ERR482290","ERR482017","ERR482018","ERR482019","ERR482291","ERR482292","ERR482293","ERR482020","ERR482021","ERR482022","ERR482294","ERR482295","ERR482296","ERR482023","ERR482024","ERR482025","ERR482027","ERR482028","ERR482026","ERR482173","ERR482029","ERR482030","ERR482031","ERR482174","ERR482453","ERR482454","ERR482455","ERR482034","ERR482032","ERR482175","ERR482033","ERR482176","ERR482035","ERR482037","ERR482036","ERR482177","ERR482456","ERR482457","ERR482458","ERR482038","ERR482039","ERR482040","ERR482042","ERR482043","ERR482041","ERR482178","ERR482459","ERR482460","ERR482461","ERR482044","ERR482045","ERR482046","ERR482462","ERR482463","ERR482464","ERR482048","ERR482049","ERR482047","ERR482179","ERR482465","ERR482466","ERR482467","ERR482468","ERR482469","ERR482470","ERR482050","ERR482051","ERR482052","ERR482471","ERR482472","ERR482473","ERR482053","ERR482054","ERR482055","ERR482474","ERR482475","ERR482476","ERR482477","ERR482478","ERR482479","ERR482056","ERR482058","ERR482057","ERR482180","ERR482480","ERR482481","ERR482482","ERR482483","ERR482484","ERR482485","ERR482059","ERR482060","ERR482181","ERR482061","ERR482182","ERR482062","ERR482063","ERR482064","ERR482486","ERR482487","ERR482488","ERR482297","ERR482298","ERR482299","ERR482065","ERR482066","ERR482067","ERR482300","ERR482301","ERR482302","ERR482068","ERR482069","ERR482070","ERR482303","ERR482304","ERR482305","ERR482306","ERR482307","ERR482308","ERR482071","ERR482072","ERR482073","ERR482309","ERR482310","ERR482311","ERR482074","ERR482075","ERR482076","ERR482312","ERR482313","ERR482314","ERR482077","ERR482079","ERR482078","ERR482183","ERR482080","ERR482184","ERR482081","ERR482185","ERR482082","ERR482186","ERR482315","ERR482317","ERR482316","ERR482489","ERR482083","ERR482084","ERR482085","ERR482320","ERR482318","ERR482490","ERR482319","ERR482491","ERR482088","ERR482086","ERR482187","ERR482087","ERR482188","ERR482321","ERR482322","ERR482323","ERR482324","ERR482325","ERR482326","ERR482089","ERR482090","ERR482091","ERR482092","ERR482093","ERR482094","ERR482327","ERR482328","ERR482329","ERR482095","ERR482097","ERR482096","ERR482189","ERR482098","ERR482099","ERR482100","ERR482492","ERR482493","ERR482494","ERR482101","ERR482102","ERR482103","ERR482495","ERR482496","ERR482497","ERR482104","ERR482105","ERR482106","ERR482498","ERR482499","ERR482500","ERR482501","ERR482502","ERR482503","ERR482107","ERR482108","ERR482109","ERR482504","ERR482505","ERR482506","ERR482110","ERR482111","ERR482112","ERR482113","ERR482114","ERR482115","ERR482330","ERR482331","ERR482332","ERR482116","ERR482117","ERR482118","ERR482333","ERR482334","ERR482335","ERR482119","ERR482120","ERR482121","ERR482336","ERR482337","ERR482338","ERR482122","ERR482123","ERR482124","ERR482339","ERR482340","ERR482341","ERR482125","ERR482126","ERR482127","ERR482342","ERR482343","ERR482344","ERR482128","ERR482129","ERR482130","ERR482345","ERR482346","ERR482347","ERR482131","ERR482132","ERR482133","ERR482348","ERR482349","ERR482350","ERR482134","ERR482135","ERR482136","ERR482351","ERR482352","ERR482353","ERR482362","ERR482363","ERR482364"
"780555",1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,66,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,58,41,0,0,0,0,0,0,89,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,3,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,44,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"301149",2,0,1,0,0,0,4,0,0,3,0,2,0,0,0,33,34,4,0,0,0,50,131,10,2,0,9,0,0,11,24,3,16,0,0,0,0,7,3,0,1,0,0,0,7,0,3,1,0,0,45,0,0,0,6,6,0,0,0,0,0,0,2,0,0,0,0,61,1,4,23,11,0,0,0,0,0,1,3,4,15,7,56,0,0,0,0,0,0,9,0,10,0,0,0,243,0,0,0,2,0,5,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27,9,8,77,0,0,2,44,0,0,1,0,1,0,0,0,0,0,0,0,0,0,14,15,0,2,19,8,14,198,0,0,1,4,0,9,1,3,5,0,0,0,0,1,0,6,0,0,1,0,0,0,2,22,13,3,3,0,0,2,0,0,0,0,8,27,0,0,17,12,20,0,0,1,0,0,1,1,13,6,12,154,0,0,0,0,0,1,2,0,0,72,10,50,0,0,5,0,0,0,4,16,3,0,0,5,0,0,0,0,0,2,0,0,0,112,57,44,92,2,11,0,0,1,1,3,6,0,0,61,66,9,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,0,1,1,1,3,0,0,11,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,8,0,102,7,7,23,3,3,0,0,0,0,4,32,21,1,0,3,0,0,0,1,4,14,0,0,0,2,0,2,0,0,1,1,0,4,0,0,0,0,0,0
"580295",1,1,0,8,1,2,1,8,0,0,0,0,0,2,0,0,4,0,3,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,1,3,0,1,0,0,0,12,5,5,5,4,0,0,0,0,0,0,0,0,5,6,3,11,0,0,0,0,0,1,0,0,0,11,7,0,0,0,23,14,6,0,1,0,0,0,16,0,67,0,0,1,13,0,0,0,2,14,1,0,0,0,2,2,3,0,0,1,0,1,0,0,0,0,2,4,0,2,0,2,10,0,0,0,0,5,0,0,1,3,0,0,127,0,4,1,0,0,0,0,0,2,1,3,3,0,5,0,0,0,0,4,0,0,0,1,0,0,1,0,1,0,0,0,2,0,0,0,0,1,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,23,13,244,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,26,11,1,35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,2,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,182,0,0,0,0,0,0,8,0,0,9,0,1,0,0,2,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,2,1,0,0,0,0,19,0,0,0
"846710",1,0,0,0,0,1,0,0,0,0,4,0,0,0,0,14,0,0,42,0,0,0,0,3,0,0,1,0,2,11,2,2,0,0,0,0,13,0,0,0,0,1,3,1,4,0,0,0,0,2,0,2,4,5,0,3,0,4,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,1,2,0,0,0,0,0,0,5,18,7,1,0,6,2,0,0,2,4,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0,0,6,5,51,3,9,29,2,0,0,0,0,0,4,32,0,83,0,5,10,0,0,0,1,0,0,0,0,0,1,1,144,1408,0,0,0,0,0,0,19,28,0,0,0,0,6,2,5,0,3,0,2,0,0,13,0,0,24,0,0,0,0,0,0,0,0,0,0,0,546,0,0,3,0,2,0,0,0,0,7,9,0,0,0,106,12,0,0,0,0,2,0,0,37,4,0,0,0,0,87,0,3,0,0,1,165,0,6,73,0,0,0,0,126,1206,0,0,6,2,0,11,1,0,0,0,4,11,0,12,81,7,35,0,0,0,0,4,0,0,0,3,10,6,0,0,0,0,0,4,2,33,25,11,0,0,0,0,39,78,2,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,143,1,0,1,0,0,0,0,11,47,10,0,0,0,1,0,2,0,1,1,27,5,1,0,9,2,0,2,0,0,0,2,2,7,4,1,0,0,184,2,3,0,0,0,40,5,1,3,0,6,0,0,0
"590136",8,2,8,3,4,13,7,6,1,6,8,2,1,4,2,4,0,1,8,0,2,3,0,15,4,6,0,5,0,0,0,1,2,5,27,0,2,0,2,1,0,3,0,1,7,4,2,1,1,0,0,4,0,0,0,4,2,10,0,2,0,1,0,0,0,0,8,26,11,1,4,0,0,0,11,1,0,0,0,0,0,11,0,0,3,3,7,2,2,5,1,2,6,1,2,3,0,0,0,2,0,0,1,1,0,2,0,3,3,0,1,0,0,0,1,2,0,3,0,2,0,0,0,0,0,1,12,0,2,0,0,0,0,0,0,0,0,0,3,4,15,0,1,0,0,1,0,1,2,0,2,2,0,10,0,2,0,0,2,0,0,0,1,3,8,2,1,0,2,2,0,0,0,0,7,0,4,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,3,10,311,0,0,0,0,0,1,1,2,0,1,2,0,0,29,219,0,7,46,1,0,0,1,0,1,0,2,0,2,0,0,178,2,0,0,0,2,0,3,0,1,0,0,1,2,0,1,0,0,4,0,1,0,0,0,18,0,0,0,1,0,0,3,4,245,193,1,20,1,7,6,0,249,5,3,1,7,1,2,0,0,1,0,2,3,7,1,1,3,4,6,6,0,0,0,0,0,0,0,3,69,15,13,4,6,4,1,0,3,14,32,9,0,2,17,0,3,14,0,13,3,2,8,2,0,0,0,0,0,0,7,14,9,0,107,1,4,0,0,0,1,0,2,1,40,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0,3,0,1,2,1,0,0,0,0,1,0,0,3,1,0,0,0,0,1,1,0,11,0,0,0,0,0,25,3,0,0,0,2,0,2,3,0,1,5,5,0,4,0,0,0,0,3,0,0,0,5,2,47,0,0,0
"555692",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"3097632",10,0,2,7,2,6,4,0,0,2,1,3,0,3,0,0,0,0,0,0,0,0,1,0,2,5,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,3,2,1,1,0,1,0,0,5,4,0,0,2,0,3,3,0,8,0,0,5,0,0,0,0,0,8,2,0,0,0,0,27,0,0,1,1,14,11,10,0,0,0,2,4,5,6,2,0,0,0,14,2,0,0,4,0,0,0,1,0,0,0,4,0,0,0,0,0,7,12,0,2,0,0,0,3,0,2,2,1,1,13,3,0,0,4,6,0,0,0,0,0,0,0,0,0,0,2,47,0,0,0,0,2,8,3,182,0,4,0,0,0,0,0,2,0,0,0,0,5,3,1,2,4,3,0,0,1,5,1,2,3,21,1,0,1,0,0,7,4,0,0,10,4,0,0,2,0,0,0,0,0,0,8,0,2,0,0,0,0,4,0,0,0,0,3,0,11,0,0,0,2,1,7,0,0,177,2,2,1,7,1,1,0,3,0,0,4,2,5,2,3,0,0,0,0,3,3,1,4,0,0,5,1,6,51,0,0,0,0,0,1,0,0,0,1,33,0,38,0,0,0,5,0,2,0,0,2,0,6,0,0,1,0,0,4,2,0,4,3,2,1,7,1,1,0,0,0,1,0,0,2,3,3,1,0,0,0,0,20,329,3,60,0,2,0,5,8,3,13,0,0,0,0,11,3,0,0,1,19,6,0,1,2,6,0,0,0,8,1,5,3,2,12,0,0,0,0,0,2,2,4,0,0,3,2,0,0,0,1,0,0,4,2,2,0,0,0,0,0,1,0,0,1,0,3,8,4,1,0,0,0,2,2,1,0,0,0,5,0,0,2,0,0,0,4,0,0,7,1,1,3,0,7,0,0,1,0,0,8,3,7,2,0,2,0,2,0,0,1,0,0,0,4,2,0,0,4,0,2
"264546",1,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,1,0,0,2,2,1,0,0,5,1,0,0,1,0,0,0,7,5,0,0,0,0,0,10,2,0,0,0,0,12,30,0,0,0,0,0,11,0,0,3,8,23,2,4,30,0,2,5,3,0,6,0,1,0,1,0,1,0,0,0,22,2,4,1,0,0,0,6,2,2,2,1,4,0,0,11,0,4,0,1,0,1,2,0,0,3,1,0,1,23,2,0,3,2,1,0,0,7,2,0,0,4,2,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,2,0,2,0,0,0,0,0,1,0,1,0,5,0,0,0,0,0,1,4,0,2,14,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,27,1,0,0,0,1,6,0,0,4,0,0,1,18,1,4,2,0,4,0,0,3,0,1,0,0,2,0,0,5,3,7,2,5,2,0,0,4,18,1,0,0,4,0,0,0,0,0,0,0,0,13,0,0,2,7,0,0,0,1,0,0,1,0,1,0,0,2,0,4,1,0,0,0,3,5,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,15,2,0,6,0,0,0,2,1,0,0,3,2,3,0,0,8,0,4,0,14,0,0,0,0,0,1,9,4,1,2,2,8,2,0,0,0,3,0,1,2,0,2,0,0,2,0,3,0,0,2,0,3,2,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,23,0,1
"1109247",1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,302,402,50,1,0,3,0,1,0,3,7,37,0,0,1,0,1,1,9,1,0,0,0,14,0,0,4,6,1,39,0,0,0,0,0,25,1,0,0,7,5,7,8,81,0,0,0,0,1,0,0,26,13,116,16,40,20,262,405,240,1,2,1,73,42,19,34,65,171,0,0,0,0,1,11,0,57,4,0,1,513,3,2,38,5,0,56,2,1,3,0,0,0,1,0,0,271,0,12,1,0,2,0,1,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,301,0,0,0,5,2,0,0,1,0,0,0,17,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2,6,5,18,120,86,37,379,24,1,0,5,0,0,0,11,0,21,0,1,0,0,0,0,0,0,10,39,0,56,23,6,11,225,1,0,4,2,0,9,2,3,1,2,0,0,1,5,1,5,0,0,0,4,0,77,5,25,28,7,1,2,1,190,0,1,0,0,3,5,0,1,0,1,2,1,0,3,0,0,0,0,0,8,27,47,0,0,1,4,6,8,2,0,3,467,293,252,0,0,0,0,0,0,3,10,13,0,6,11,3,18,18,1,0,4,0,0,0,30,38,18,104,11,176,0,0,11,126,0,7,0,1,16,22,0,0,0,0,0,0,93,27,220,12,172,0,0,0,0,0,0,0,1,0,1,1,0,0,1,9,0,434,0,0,0,2,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,10,0,166,1,0,1,1,174,1,1,0,0,0,68,25,16,0,38,0,0,0,23,50,37,0,0,1,2,0,1,0,0,2,28,50,20,0,0,0,0,0,0
"1109362",1,0,1,0,0,0,3,0,0,1,0,0,0,0,4,110,134,14,2,0,1,8,16,1,4,12,9,0,0,0,4,1,1,7,0,0,0,0,1,0,0,0,3,0,25,0,0,2,0,0,2,0,0,0,22,11,2,2,14,1,0,0,0,0,0,0,4,9,69,4,18,8,148,354,140,1,4,1,6,8,5,55,117,217,0,0,0,3,1,5,0,15,8,0,0,182,13,1,201,7,0,40,2,0,4,0,0,1,1,0,1,421,0,56,1,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,1,4,2,12,16,1,0,107,0,0,0,1,2,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7,108,107,37,350,10,0,2,18,2,3,1,34,0,9,0,1,0,0,0,0,3,0,25,69,0,26,15,11,10,142,1,0,4,3,0,6,0,5,5,13,1,3,35,6,0,3,0,0,0,13,0,160,1,5,7,5,0,0,2,33,1,3,3,1,5,16,0,2,2,6,12,0,0,3,0,0,0,1,6,6,15,96,0,0,4,1,6,1,2,1,1,184,70,93,1,0,1,0,0,0,6,8,3,0,1,1,4,3,0,2,0,2,0,0,0,72,45,30,50,6,62,0,0,4,50,7,10,10,0,29,39,2,0,0,0,0,0,90,15,137,15,113,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,259,0,0,0,1,2,0,0,162,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,1,54,1,0,3,0,27,0,0,0,0,0,23,11,8,0,24,0,0,1,12,19,28,0,0,0,1,1,0,0,0,1,9,10,13,2,0,0,0,0,0
